Date;Liq.Agg;Liq.Inno;Liq.Trade
200906;-0.040568398;0.017464685;-0.02841793
200907;0.078409993;0.040058857;0.008351735
200908;-0.02573408;-0.012365699;-0.087018489
200909;0.00987809;0.06466425;0.093562031
200910;-0.059199346;-0.044843311;0.058693266
200911;-0.033577739;-0.005349368;-0.004695015
200912;0.121269065;0.000890129;0.060735415
201001;0.060334704;0.111655097;-0.031977342
201002;0.017736841;0.036034038;0.007671439
201003;0.017593677;0.029505002;-0.066457292
201004;-0.046557996;-0.035710672;-0.009060218
201005;-0.075388089;-0.020011074;-0.010297655
201006;-0.060533445;0.007005978;0.01747208
201007;-0.008156026;0.006914189;0.042479193
201008;0.014962988;0.026062411;0.070815218
201009;-0.033622125;0.081967715;0.042801578
201010;-0.044977099;-0.052505421;0.050897071
201011;-0.011322143;0.005671579;0.027750187
201012;0.021329544;0.069932018;-0.022360401
201101;-0.006814169;0.000643084;0.003791138
201102;-0.011238198;0.005464415;0.012397534
201103;-0.031568483;-0.013312776;0.032047188
201104;0.013734511;0.023854535;-0.006787302
201105;0.018601387;0.022535905;-0.010754396
201106;-0.009142154;0.027457063;-0.000804499
201107;-0.02278509;0.007147759;0.021106709
201108;-0.058787972;-0.053478127;-0.041660422
201109;0.025509042;0.047816317;-0.075372781
201110;-0.045893217;0.019831339;0.077489254
201111;-0.094249527;-0.024732771;0.027827334
201112;0.008971326;0.051232647;-0.066823605
201201;0.019608758;0.052172995;-0.025893263
201202;0.031854966;0.010272852;0.017267378
201203;-0.01879254;-0.006901136;-0.075751906
201204;0.009325308;-0.013049196;0.002574777
201205;0.08313547;-0.006492316;-0.019226898
201206;0.017918988;-0.000578618;-0.003055224
201207;0.016511631;0.101584639;0.003726118
201208;-0.041705737;-0.021639565;-0.01077309
201209;0.047356685;0.03821229;-0.006717443
201210;-0.033239538;-0.041329582;-0.005695284
201211;-0.012826181;-0.057190459;-0.002648998
201212;0.010411171;0.030391188;0.00931822
201301;0.015471782;0.028118856;-0.029854991
201302;-0.02509081;-0.01518728;-0.026716185
201303;0.02613963;0.073979482;0.024670992
201304;-0.001375901;-0.01259882;-0.038085108
