Date;EI10y;RRP;IRP
01.03.15;1.7034873;1.2316641;0.36021406
01.04.15;1.7122854;1.1847672;0.36618979
01.05.15;1.793767;1.2105168;0.37948302
01.06.15;1.8240356;1.2124344;0.38907664
01.07.15;1.8829511;1.2396006;0.41520451
01.08.15;1.817785;1.2152095;0.40961254
01.09.15;1.838593037;1.2110942;0.42396602
01.10.15;1.7425951;1.2014385;0.42730845
01.11.15;1.802926;1.215392;0.39944678
01.12.15;1.812731234;1.2234686;0.41632938
01.01.16;1.850428128;1.2456638;0.43556984
01.02.16;1.707169397;1.2014762;0.41307919
01.03.16;1.653006286;1.1869379;0.42311426
01.04.16;1.708775441;1.1600216;0.40539522
